date,id,name,y_items,y_actual_cost,total_list_size,Items_per_patient
01/04/2015,P84665,AL-SHIFA MEDICAL CENTRE,96,344.84,2802,34.26124197
01/05/2015,P84665,AL-SHIFA MEDICAL CENTRE,87,238.11,2802,31.04925054
01/06/2015,P84665,AL-SHIFA MEDICAL CENTRE,94,313.03,2802,33.5474661
01/07/2015,P84665,AL-SHIFA MEDICAL CENTRE,90,281.26,2790,32.25806452
01/08/2015,P84665,AL-SHIFA MEDICAL CENTRE,73,193.09,2790,26.16487455
01/09/2015,P84665,AL-SHIFA MEDICAL CENTRE,84,266.89,2790,30.10752688
01/10/2015,P84665,AL-SHIFA MEDICAL CENTRE,97,315.09,2795,34.70483005
01/11/2015,P84665,AL-SHIFA MEDICAL CENTRE,82,220.95,2795,29.33810376
01/12/2015,P84665,AL-SHIFA MEDICAL CENTRE,128,310.15,2795,45.7960644
01/01/2016,P84665,AL-SHIFA MEDICAL CENTRE,99,254.77,2785,35.5475763
01/02/2016,P84665,AL-SHIFA MEDICAL CENTRE,92,173.8,2785,33.03411131
01/03/2016,P84665,AL-SHIFA MEDICAL CENTRE,104,218.92,2785,37.34290844
01/04/2016,P84665,AL-SHIFA MEDICAL CENTRE,73,131.9,2768,26.37283237
01/05/2016,P84665,AL-SHIFA MEDICAL CENTRE,73,191,2768,26.37283237
01/06/2016,P84665,AL-SHIFA MEDICAL CENTRE,67,132.43,2768,24.20520231
01/07/2016,P84665,AL-SHIFA MEDICAL CENTRE,76,110.19,2776,27.37752161
01/08/2016,P84665,AL-SHIFA MEDICAL CENTRE,69,139.66,2776,24.85590778
01/09/2016,P84665,AL-SHIFA MEDICAL CENTRE,100,215.42,2776,36.02305476
01/10/2016,P84665,AL-SHIFA MEDICAL CENTRE,82,171.8,2775,29.54954955
01/11/2016,P84665,AL-SHIFA MEDICAL CENTRE,67,160.1,2775,24.14414414
01/12/2016,P84665,AL-SHIFA MEDICAL CENTRE,84,212.88,2775,30.27027027
01/01/2017,P84665,AL-SHIFA MEDICAL CENTRE,83,183.46,2795,29.69588551
01/02/2017,P84665,AL-SHIFA MEDICAL CENTRE,86,236.61,2795,30.76923077
01/03/2017,P84665,AL-SHIFA MEDICAL CENTRE,93,231.39,2795,33.27370304
01/04/2017,P84665,AL-SHIFA MEDICAL CENTRE,75,165.19,2813,26.66192677
01/05/2017,P84665,AL-SHIFA MEDICAL CENTRE,73,137.12,2855,25.56917688
01/06/2017,P84665,AL-SHIFA MEDICAL CENTRE,65,171.27,2852,22.79102384
01/07/2017,P84665,AL-SHIFA MEDICAL CENTRE,91,311.16,2840,32.04225352
01/08/2017,P84665,AL-SHIFA MEDICAL CENTRE,52,107.48,2837,18.32922101
01/09/2017,P84665,AL-SHIFA MEDICAL CENTRE,63,111.75,2823,22.31668438
01/10/2017,P84665,AL-SHIFA MEDICAL CENTRE,77,141.93,2794,27.55905512
01/11/2017,P84665,AL-SHIFA MEDICAL CENTRE,77,135.75,2787,27.62827413
01/12/2017,P84665,AL-SHIFA MEDICAL CENTRE,65,146.66,2791,23.28914368
01/01/2018,P84665,AL-SHIFA MEDICAL CENTRE,89,132.4,2782,31.99137311
01/02/2018,P84665,AL-SHIFA MEDICAL CENTRE,82,145.94,2772,29.58152958
01/03/2018,P84665,AL-SHIFA MEDICAL CENTRE,71,116.15,2766,25.66883586
01/04/2018,P84665,AL-SHIFA MEDICAL CENTRE,62,118.97,2763,22.43937749
01/05/2018,P84665,AL-SHIFA MEDICAL CENTRE,66,110.55,2751,23.9912759
01/06/2018,P84665,AL-SHIFA MEDICAL CENTRE,49,101.08,2746,17.84413693
01/07/2018,P84665,AL-SHIFA MEDICAL CENTRE,67,90,2770,24.18772563
01/08/2018,P84665,AL-SHIFA MEDICAL CENTRE,48,104.24,2779,17.27240014
01/09/2018,P84665,AL-SHIFA MEDICAL CENTRE,58,264.37,2769,20.94618996
01/10/2018,P84665,AL-SHIFA MEDICAL CENTRE,74,345.16,2777,26.64746129
01/11/2018,P84665,AL-SHIFA MEDICAL CENTRE,87,264.37,2785,31.23877917
01/12/2018,P84665,AL-SHIFA MEDICAL CENTRE,75,277.55,2786,26.92031587
01/01/2019,P84665,AL-SHIFA MEDICAL CENTRE,78,523.81,2785,28.00718133
01/02/2019,P84665,AL-SHIFA MEDICAL CENTRE,55,116.81,2776,19.81268012
01/03/2019,P84665,AL-SHIFA MEDICAL CENTRE,66,233.56,2794,23.62204724
01/04/2019,P84665,AL-SHIFA MEDICAL CENTRE,67,578.07,2783,24.07473949
01/05/2019,P84665,AL-SHIFA MEDICAL CENTRE,52,128.56,2780,18.70503597
01/06/2019,P84665,AL-SHIFA MEDICAL CENTRE,74,142.32,2769,26.72444926
01/07/2019,P84665,AL-SHIFA MEDICAL CENTRE,70,148.94,2784,25.14367816
01/08/2019,P84665,AL-SHIFA MEDICAL CENTRE,45,140.08,2793,16.11170784
01/09/2019,P84665,AL-SHIFA MEDICAL CENTRE,74,217.36,2787,26.55184787
01/10/2014,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,463,1815.39,9102,50.86794111
01/11/2014,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,496,2171.34,9102,54.49351791
01/12/2014,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,657,2609.86,9102,72.18193804
01/01/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,482,2069.09,9316,51.73894375
01/02/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,442,2280.35,9316,47.44525547
01/03/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,451,2680.18,9316,48.41133534
01/04/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,436,2239.55,9628,45.28458662
01/05/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,390,1974.08,9628,40.50685501
01/06/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,365,2065.12,9628,37.91026174
01/07/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,419,2580.88,9859,42.49923927
01/08/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,375,2193.47,9859,38.036312
01/09/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,393,2171.14,9859,39.86205498
01/10/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,452,3080.6,9955,45.40431944
01/11/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,413,2016.6,9955,41.48669011
01/12/2015,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,402,2119.4,9955,40.38171773
01/01/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,384,2042.98,10041,38.24320287
01/02/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,409,2129.28,10041,40.73299472
01/03/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,431,2583.23,10041,42.92401155
01/04/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,427,2677.43,10239,41.70329134
01/05/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,385,1876.14,10239,37.60132825
01/06/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,331,1361.39,10239,32.32737572
01/07/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,364,1961.05,10304,35.32608696
01/08/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,373,2124.2,10304,36.19953416
01/09/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,383,2750.34,10304,37.17003106
01/10/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,461,2732.64,10305,44.73556526
01/11/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,446,2741.56,10305,43.27996118
01/12/2016,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,460,2282.39,10305,44.63852499
01/01/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,413,1922.58,10664,38.72843211
01/02/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,393,1967.07,10664,36.85296324
01/03/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,390,2497.18,10664,36.57164291
01/04/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,346,2472.48,10569,32.73725045
01/05/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,365,2424.71,10525,34.67933492
01/06/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,390,2921.68,10531,37.03352008
01/07/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,353,2841.66,10463,33.73793367
01/08/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,359,1846.28,10408,34.49269792
01/09/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,338,2118.06,10406,32.48126081
01/10/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,401,1716.95,10368,38.67669753
01/11/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,461,2366.97,10344,44.56689869
01/12/2017,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,445,1845.88,10353,42.98271033
01/01/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,478,1689,10326,46.29091613
01/02/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,400,1780.42,10349,38.6510774
01/03/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,379,1630.25,10361,36.57948075
01/04/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,375,1520.13,10410,36.02305476
01/05/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,377,1742.29,10423,36.17000863
01/06/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,312,1421.4,10430,29.91371045
01/07/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,351,1871.71,10447,33.59816215
01/08/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,358,1506.59,10486,34.14075911
01/09/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,364,2107.68,10526,34.58103743
01/10/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,424,2324.6,10540,40.22770398
01/11/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,418,2209.61,10519,39.73761764
01/12/2018,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,383,1647.77,10523,36.39646489
01/01/2019,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,475,2691.83,10537,45.07924457
01/02/2019,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,394,2127.39,10566,37.28941889
01/03/2019,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,379,1907,10596,35.76821442
01/04/2019,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,364,2500.2,10623,34.26527346
01/05/2019,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,365,2048.28,10638,34.31096071
01/06/2019,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,318,1448.61,10662,29.82554868
01/07/2019,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,353,1863.65,10692,33.01533857
01/08/2019,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,352,1906.98,10770,32.68337976
01/09/2019,P84673,ANCOATS URBAN VILLAGE MEDICAL PRACTICE,359,1820.22,10644,33.72792183
01/10/2014,P84631,ARTANE MEDICAL CENTRE,145,672.74,2005,72.319202
01/11/2014,P84631,ARTANE MEDICAL CENTRE,117,783.68,2005,58.35411471
01/12/2014,P84631,ARTANE MEDICAL CENTRE,169,833.38,2005,84.28927681
01/01/2015,P84631,ARTANE MEDICAL CENTRE,140,828.8,1996,70.14028056
01/02/2015,P84631,ARTANE MEDICAL CENTRE,116,817.73,1996,58.11623246
01/03/2015,P84631,ARTANE MEDICAL CENTRE,134,991.77,1996,67.13426854
01/04/2015,P84631,ARTANE MEDICAL CENTRE,113,949.38,2033,55.58288244
01/05/2015,P84631,ARTANE MEDICAL CENTRE,96,688.32,2033,47.22085588
01/06/2015,P84631,ARTANE MEDICAL CENTRE,115,694.09,2033,56.56665027
01/07/2015,P84631,ARTANE MEDICAL CENTRE,95,566.26,2069,45.9159014
01/08/2015,P84631,ARTANE MEDICAL CENTRE,96,838.8,2069,46.39922668
01/09/2015,P84631,ARTANE MEDICAL CENTRE,128,876.79,2069,61.86563557
01/10/2015,P84631,ARTANE MEDICAL CENTRE,174,876.59,2131,81.65180666
01/11/2015,P84631,ARTANE MEDICAL CENTRE,146,717.09,2131,68.51243548
01/12/2015,P84631,ARTANE MEDICAL CENTRE,167,944.25,2131,78.36696387
01/01/2016,P84631,ARTANE MEDICAL CENTRE,124,659.87,2234,55.50581916
01/02/2016,P84631,ARTANE MEDICAL CENTRE,139,882.5,2234,62.22023277
01/03/2016,P84631,ARTANE MEDICAL CENTRE,154,885.99,2234,68.93464637
01/04/2016,P84631,ARTANE MEDICAL CENTRE,165,897.6,2356,70.03395586
01/05/2016,P84631,ARTANE MEDICAL CENTRE,125,679.77,2356,53.05602716
01/06/2016,P84631,ARTANE MEDICAL CENTRE,117,697.28,2356,49.66044143
01/07/2016,P84631,ARTANE MEDICAL CENTRE,119,614.24,2469,48.19765087
01/08/2016,P84631,ARTANE MEDICAL CENTRE,123,766.39,2469,49.81773998
01/09/2016,P84631,ARTANE MEDICAL CENTRE,102,608.41,2469,41.31227217
01/10/2016,P84631,ARTANE MEDICAL CENTRE,129,873.34,2461,52.41771638
01/11/2016,P84631,ARTANE MEDICAL CENTRE,149,720.59,2461,60.54449411
01/12/2016,P84631,ARTANE MEDICAL CENTRE,132,692.86,2461,53.63673304
01/01/2017,P84631,ARTANE MEDICAL CENTRE,119,758.31,2553,46.61182922
01/02/2017,P84631,ARTANE MEDICAL CENTRE,95,537.43,2553,37.21112417
01/03/2017,P84631,ARTANE MEDICAL CENTRE,130,786.11,2553,50.9204857
01/04/2017,P84631,ARTANE MEDICAL CENTRE,85,708.09,2591,32.80586646
01/05/2017,P84631,ARTANE MEDICAL CENTRE,106,635.14,2597,40.81632653
01/06/2017,P84631,ARTANE MEDICAL CENTRE,66,565.51,2616,25.2293578
01/07/2017,P84631,ARTANE MEDICAL CENTRE,98,981,2604,37.6344086
01/08/2017,P84631,ARTANE MEDICAL CENTRE,119,681.57,2598,45.80446497
01/09/2017,P84631,ARTANE MEDICAL CENTRE,115,644.39,2605,44.14587332
01/10/2017,P84631,ARTANE MEDICAL CENTRE,121,539.93,2600,46.53846154
01/11/2017,P84631,ARTANE MEDICAL CENTRE,137,961.86,2582,53.05964369
01/12/2017,P84631,ARTANE MEDICAL CENTRE,139,632.67,2592,53.62654321
01/01/2018,P84631,ARTANE MEDICAL CENTRE,126,309.74,2573,48.97007384
01/02/2018,P84631,ARTANE MEDICAL CENTRE,96,589.44,2402,39.96669442
01/03/2018,P84631,ARTANE MEDICAL CENTRE,55,146.81,2199,25.0113688
01/04/2018,P84631,ARTANE MEDICAL CENTRE,79,439.86,2146,36.81267474
01/05/2018,P84631,ARTANE MEDICAL CENTRE,30,60.05,2076,14.45086705
01/06/2018,P84631,ARTANE MEDICAL CENTRE,42,342.89,1912,21.9665272
01/07/2018,P84631,ARTANE MEDICAL CENTRE,31,281.82,1804,17.18403548
01/08/2018,P84631,ARTANE MEDICAL CENTRE,32,288.89,1734,18.4544406
01/09/2018,P84631,ARTANE MEDICAL CENTRE,35,285.83,1654,21.16082225
01/10/2018,P84631,ARTANE MEDICAL CENTRE,33,314.49,1596,20.67669173
01/11/2018,P84631,ARTANE MEDICAL CENTRE,31,263.45,1538,20.15604681
01/12/2018,P84631,ARTANE MEDICAL CENTRE,31,275.37,1501,20.65289807
01/01/2019,P84631,ARTANE MEDICAL CENTRE,37,413.11,1455,25.42955326
01/02/2019,P84631,ARTANE MEDICAL CENTRE,35,346.06,1408,24.85795455
01/03/2019,P84631,ARTANE MEDICAL CENTRE,31,264.17,1356,22.86135693
01/04/2019,P84631,ARTANE MEDICAL CENTRE,19,223.52,1259,15.09134234
01/05/2019,P84631,ARTANE MEDICAL CENTRE,17,216.74,1191,14.27371956
01/06/2019,P84631,ARTANE MEDICAL CENTRE,5,47.89,1030,4.854368932
01/07/2019,P84631,ARTANE MEDICAL CENTRE,0,0,147,0
01/08/2019,P84631,ARTANE MEDICAL CENTRE,0,0,96,0
01/09/2019,P84631,ARTANE MEDICAL CENTRE,0,0,77,0
01/10/2014,P84053,ASHCROFT SURGERY,357,1732.05,8036,44.42508711
01/11/2014,P84053,ASHCROFT SURGERY,326,1752.98,8036,40.56744649
01/12/2014,P84053,ASHCROFT SURGERY,400,1729.99,8036,49.77600796
01/01/2015,P84053,ASHCROFT SURGERY,417,2243.28,7974,52.29495862
01/02/2015,P84053,ASHCROFT SURGERY,335,2629.89,7974,42.0115375
01/03/2015,P84053,ASHCROFT SURGERY,389,2987.47,7974,48.78354653
01/04/2015,P84053,ASHCROFT SURGERY,308,1923.12,7957,38.7080558
01/05/2015,P84053,ASHCROFT SURGERY,314,1997.58,7957,39.46210883
01/06/2015,P84053,ASHCROFT SURGERY,341,2694.63,7957,42.85534749
01/07/2015,P84053,ASHCROFT SURGERY,305,1841.43,8000,38.125
01/08/2015,P84053,ASHCROFT SURGERY,272,1695.22,8000,34
01/09/2015,P84053,ASHCROFT SURGERY,252,1568.25,8000,31.5
01/10/2015,P84053,ASHCROFT SURGERY,372,2326.93,7949,46.79833941
01/11/2015,P84053,ASHCROFT SURGERY,383,2281.29,7949,48.18216128
01/12/2015,P84053,ASHCROFT SURGERY,333,1682.73,7949,41.89206189
01/01/2016,P84053,ASHCROFT SURGERY,213,1112.38,7973,26.71516368
01/02/2016,P84053,ASHCROFT SURGERY,192,1198.07,7973,24.0812743
01/03/2016,P84053,ASHCROFT SURGERY,523,2406.09,7973,65.59638781
01/04/2016,P84053,ASHCROFT SURGERY,473,2204.83,7984,59.24348697
01/05/2016,P84053,ASHCROFT SURGERY,311,1511.63,7984,38.95290581
